,QB_cap,RB_cap,WR_cap,TE_cap,OL_cap,ED_cap,DL_cap,LB_cap,CB_cap,S_cap,K_cap,P_cap,LS_cap,QB_avg,RB_avg,WR_avg,TE_avg,OL_avg,ED_avg,DL_avg,LB_avg,CB_avg,S_avg,K_avg,P_avg,LS_avg,W-L%,W,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
QB_cap,1.0,-0.023933698463983064,0.11213974317423464,0.19012913129289938,0.21403193082171554,0.07001441757533976,0.0968371150563542,0.012133557243729417,-0.026583127041861058,0.1461277744392906,0.02047122342417496,0.05891349589430014,0.0065905646943308326,0.7686017389967388,0.003410835750023017,0.1300298895521964,0.14880529459603906,0.2285145973603049,0.0779097535651079,0.09607488701899698,0.010860247841795933,0.0006495476259116214,0.12068018231256586,0.056093521407729226,0.09246618258337834,0.051273114243260885,0.2691978760335772,0.2781336033320576,0.32095554346427435,-0.04176328371551799,0.251759293259631,0.25011744029539085,-0.05008090866457811,0.24474425870270272,0.27459314843843,0.09015733229889891
RB_cap,-0.023933698463983064,1.0,-0.0365973408826932,0.05506039454891368,0.05289057825433714,-0.0013897915178355082,-0.01932729314611183,0.08831035089515031,-0.04682496520894195,0.09172184944344527,0.048710966590647546,-0.002478969817311806,0.16005807037594885,0.06701271505892854,0.8526976807112656,0.017910027647510474,0.0264462223936688,0.05046425523354475,0.002528668147274515,0.003387573393758519,0.12974833665336077,-0.056496032088275305,0.11618287495992781,0.03879449904154652,-0.005765710523315167,0.15928909536150979,0.06788605018595256,0.07598953579718588,0.0635198490260239,-0.03837524932139919,0.06674403119977793,0.06665971224806706,-0.03546800132128611,0.05986966574875892,0.04829453498760757,0.046151241245304044
WR_cap,0.11213974317423464,-0.0365973408826932,1.0,0.23155787571743514,0.16935308382807987,0.18678215629893702,0.23469995005337582,0.06151305124245452,0.14344215412646677,0.12059077861041594,0.059143179291692494,0.07920091839999754,0.11649451568928433,0.1462310293441328,-0.014246454913497776,0.8052453382479337,0.21521994117519985,0.16059411377078708,0.2125705949633326,0.24716026782294578,0.028299825396034206,0.1771571085828113,0.09426969159615099,0.07013657920110487,0.0791365732903509,0.17614462566990857,0.17246599361158005,0.1894837268176351,0.20874420762113316,-0.012548256319758744,0.15552858586086196,0.15589883611657962,0.01801090473828453,0.16399312996198995,0.18664716683514657,0.056600494656494055
TE_cap,0.19012913129289938,0.05506039454891368,0.23155787571743514,1.0,0.22879742757673635,0.13794297470384498,0.08811425206333115,0.14881603066263652,0.03842179194036805,0.1657741784608512,0.1789664884965232,0.03209370966642283,0.11902454071031583,0.19516788022544404,0.07322192864851423,0.2565800080057572,0.8499154320119706,0.24939905960098194,0.20291420543718455,0.11991570249514058,0.1684390033646732,0.061311010797338424,0.1235075118862119,0.20260016520478102,0.039583462672334924,0.10575304562407992,0.14230542970820773,0.1632946265177565,0.1358500139167055,-0.05167330490775772,0.12566393166397488,0.12466137337066954,-0.05233127874741713,0.11454319545614185,0.08845331052462554,0.09350051809201212
OL_cap,0.21403193082171554,0.05289057825433714,0.16935308382807987,0.22879742757673635,1.0,0.15787338544205917,0.21968128682041455,0.05483489821327178,0.12369313868635615,0.10327090253898599,0.04429375971051564,0.12107654114344095,0.15395998723629478,0.26840507276365566,0.10760413396559755,0.2452002955203181,0.2740293560150193,0.8755360565225042,0.17765027647215134,0.2538458185404058,0.09740969152412446,0.19355104611339446,0.11645073763840465,0.10680417473303828,0.12133137136463043,0.19420528878516022,0.18020380203145014,0.20871209514905872,0.2278720759711856,-0.006969250418277691,0.16599922262201258,0.16459170339112647,-0.015975401893930326,0.16515624939514245,0.17971458218936373,0.06781207039519498
ED_cap,0.07001441757533976,-0.0013897915178355082,0.18678215629893702,0.13794297470384498,0.15787338544205917,1.0,0.1926653810487884,-0.0996210186570252,0.03810628029926372,0.17551672483525887,0.06630939294095275,0.035763011405683866,0.20085789260696157,0.13452161641583552,0.04767857974959054,0.18768655371263765,0.18779570157181827,0.15485976890595998,0.8720166876740293,0.20127760975190687,-0.06431231387959878,0.05619555060599293,0.20871980283993305,0.09027296064951879,0.06863704916410424,0.2179767806504338,0.1671455773627476,0.18171971847847504,0.13279764032898508,-0.0860850450136099,0.14282869376868368,0.14023763149517182,-0.005869529113548136,0.1425853503348846,0.08340516590356468,0.1506707790916117
DL_cap,0.0968371150563542,-0.01932729314611183,0.23469995005337582,0.08811425206333115,0.21968128682041455,0.1926653810487884,1.0,-0.2574873324370495,0.225442829422251,0.09439302301890079,0.04333321358506681,0.07922981045503773,0.21297336281210028,0.18016755320673655,0.023391484141978284,0.2892144471121058,0.128887661759469,0.2547913581390573,0.18582373998185528,0.9226403190678535,-0.20780504879941758,0.2695456777511443,0.12995934656602529,0.07555635392198488,0.11163326869678479,0.269221826104441,0.09171995432402104,0.1170122843699382,0.12258456667030333,-0.015073319780943305,0.09566289022286721,0.09562289473844833,-0.07120904950605916,0.0800762770892128,0.04767098107783812,0.08417919421383885
LB_cap,0.012133557243729417,0.08831035089515031,0.06151305124245452,0.14881603066263652,0.05483489821327178,-0.0996210186570252,-0.2574873324370495,1.0,-0.03539327984826976,0.06333075343185343,0.012342707567225664,-0.10781081234832818,0.05931620883361187,0.011242668653608066,0.08199588503681708,0.09327618913486484,0.1211186066766251,0.025570477257743692,-0.045310851199307826,-0.23239244685892388,0.8781351780099413,-0.01817632477587396,0.04840264579226715,0.010396550836826805,-0.08642093356241966,0.025214047464105233,0.11332226100012181,0.1183427144251618,0.11369054453754757,-0.08850048201069009,0.13059522946057855,0.13256127505861307,0.009128994073048641,0.13825815020424528,0.11202498503849155,0.10554831997375529
CB_cap,-0.026583127041861058,-0.04682496520894195,0.14344215412646677,0.03842179194036805,0.12369313868635615,0.03810628029926372,0.225442829422251,-0.03539327984826976,1.0,0.016953390081265902,0.037620328603306975,0.08121010440211704,0.1326225325732339,-0.012822100853315865,0.0007902501250841199,0.165491640600778,0.08157392111478601,0.13692439169441373,0.09681897833527173,0.23743149795818538,-0.021216533101071692,0.8431987939615468,0.030678559873710508,0.053141782739839015,0.0618402851597231,0.15452009210284753,0.07708950676836938,0.08497940377928465,0.038660762290141745,-0.1018388550984904,0.08472207169451074,0.08479006542433852,-0.05060153107397223,0.07471687276692184,0.009127632198491935,0.12359200812661209
S_cap,0.1461277744392906,0.09172184944344527,0.12059077861041594,0.1657741784608512,0.10327090253898599,0.17551672483525887,0.09439302301890079,0.06333075343185343,0.016953390081265902,1.0,0.12239652044089237,0.011294800860459262,0.10406391798687294,0.24113589107410616,0.12798041452832487,0.12068659295022278,0.1796530617152499,0.07761139799777438,0.1457808117864703,0.09756194862982359,0.06674732785534285,0.04617837264020534,0.8419269177065686,0.17170268398617916,0.023711921267194132,0.1355585654884889,0.22779791410054787,0.2428824193340889,0.18020652453107913,-0.19072088746330879,0.23534484185409266,0.2356234783549427,-0.04777230755575126,0.23004135768141554,0.15124113547844711,0.22158423931798527
