Year,Team,OFF,QB_cap,RB_cap,WR_cap,TE_cap,OL_cap,DEF,ED_cap,DL_cap,LB_cap,CB_cap,S_cap,SPT,K_cap,P_cap,LS_cap,Total_cap,QB_avg,RB_avg,WR_avg,TE_avg,OL_avg,ED_avg,DL_avg,LB_avg,CB_avg,S_avg,K_avg,P_avg,LS_avg,Total_avg,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Conference,T
2010,ATL,62.15,15.2,11.75,13.29,8.57,13.34,44.84,0.0,0.0,16.98,11.08,4.55,5.5,1.1,2.73,1.67,116.34,14.41,12.56,13.84,8.36,13.05,0.0,0.0,16.94,14.2,4.85,1.38,2.73,1.47,122.37,13,3,0.813,414,288,126,7.9,-1.8,6.1,3.8,2.2,NFC,0
2010,BAL,47.53,7.7,7.19,10.76,6.99,16.06,42.3,0.0,0.0,24.75,6.02,11.26,4.08,1.23,1.76,1.09,105.71,11.25,6.52,14.19,5.88,15.24,0.0,0.0,26.26,6.56,8.44,1.23,1.76,1.18,109.5,12,4,0.75,357,270,87,5.4,1.0,6.4,0.9,5.5,AFC,0
2010,BUF,32.08,3.49,3.89,12.28,2.12,9.26,49.45,0.0,0.0,16.38,12.87,7.92,3.74,1.67,1.68,0.39,96.61,4.01,7.01,15.73,2.26,10.47,0.0,0.0,20.96,15.16,7.0,1.93,1.79,0.35,116.59,4,12,0.25,283,425,-142,-8.9,4.3,-4.6,-1.5,-3.1,AFC,0
2010,CAR,42.87,4.03,6.01,12.38,3.42,19.03,25.56,0.0,0.0,13.35,9.05,2.21,3.96,2.15,1.81,0.0,80.95,4.32,6.77,11.79,2.69,20.6,0.0,0.0,12.38,12.02,2.63,2.31,1.7,0.0,84.85,2,14,0.125,196,408,-212,-13.3,0.1,-13.2,-9.1,-4.1,NFC,0
2010,CHI,40.7,10.38,8.3,9.85,7.02,6.77,48.78,0.0,0.0,20.12,6.63,6.11,2.71,1.75,0.0,0.96,105.2,11.59,4.64,8.36,7.18,8.68,0.0,0.0,17.81,9.06,5.58,2.58,0.0,1.05,109.62,11,5,0.688,334,286,48,3.0,1.1,4.1,-0.6,4.7,NFC,0
2010,CIN,52.56,13.09,4.3,18.38,2.55,14.35,32.38,0.0,0.0,11.17,6.22,3.6,1.42,0.5,0.44,0.47,90.06,17.08,4.09,19.14,4.42,18.59,0.0,0.0,9.8,6.03,4.12,0.64,0.49,0.43,102.8,4,12,0.25,322,395,-73,-4.6,3.1,-1.4,0.4,-1.9,AFC,0
2010,CLE,49.51,8.33,1.04,6.01,3.69,28.69,32.09,0.0,0.0,11.47,6.68,6.41,2.05,1.31,0.74,0.0,91.89,9.04,1.15,8.57,5.17,24.91,0.0,0.0,10.33,12.82,6.33,1.15,0.98,0.0,94.69,5,11,0.313,271,332,-61,-3.8,2.3,-1.5,-3.4,2.0,AFC,0
2010,DAL,83.96,15.59,10.2,28.16,6.45,30.46,47.66,0.0,0.0,23.12,16.36,2.99,3.27,0.43,2.05,0.8,150.04,14.47,9.48,19.45,5.14,27.91,0.0,0.0,25.61,12.04,3.55,0.47,1.7,0.85,136.27,6,10,0.375,394,436,-42,-2.6,0.5,-2.2,2.5,-4.7,NFC,0
2010,DEN,48.43,3.31,11.68,14.36,10.83,8.25,51.14,0.0,0.0,8.41,25.54,7.25,1.9,0.55,0.32,1.04,103.35,7.66,10.15,13.75,9.77,13.02,0.0,0.0,17.35,15.53,9.42,0.55,0.35,1.11,110.17,4,12,0.25,344,471,-127,-7.9,-1.0,-8.9,-1.1,-7.8,AFC,0
2010,DET,12.98,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6,10,0.375,362,369,-7,-0.4,2.3,1.9,2.4,-0.5,NFC,0
2010,GB,43.47,6.99,8.11,14.39,3.59,19.79,64.71,0.0,0.0,15.31,11.08,22.92,2.31,1.12,0.32,0.87,124.71,11.03,7.07,13.42,4.63,22.16,0.0,0.0,17.0,13.9,21.49,0.44,0.41,0.79,133.13,10,6,0.625,388,240,148,9.3,1.7,10.9,3.1,7.9,NFC,0
2010,HOU,54.54,10.08,2.85,17.13,5.53,16.13,58.13,0.0,0.0,15.28,11.7,4.13,2.27,1.95,0.0,0.32,115.36,11.68,2.46,16.1,5.97,17.3,0.0,0.0,13.03,14.12,4.5,2.05,0.0,0.36,116.82,6,10,0.375,390,427,-37,-2.3,0.5,-1.8,1.8,-3.7,AFC,0
2010,IND,45.75,20.08,5.57,9.58,2.42,14.63,52.9,0.0,0.0,26.22,15.72,8.74,3.59,3.21,0.39,0.0,113.55,14.93,6.19,8.45,2.44,15.12,0.0,0.0,26.89,10.71,7.37,2.4,0.45,0.0,102.35,10,6,0.625,435,388,47,2.9,-0.1,2.9,3.7,-0.9,AFC,0
2010,JAX,47.58,11.86,8.02,4.5,2.82,15.11,26.37,0.0,0.0,9.28,6.46,1.72,4.09,2.23,1.22,0.64,82.28,14.24,7.99,5.1,2.27,22.03,0.0,0.0,10.44,7.24,2.36,2.0,0.54,0.6,103.46,8,8,0.5,353,419,-66,-4.1,-0.4,-4.5,-1.2,-3.3,AFC,0
2010,KC,44.83,14.51,8.61,8.78,1.55,12.68,37.29,0.0,0.0,23.58,3.1,5.32,2.61,0.39,1.68,0.54,94.77,12.69,9.32,7.26,2.04,16.08,0.0,0.0,19.89,3.47,9.85,0.4,1.7,0.43,109.06,10,6,0.625,366,326,40,2.5,-3.2,-0.7,-1.5,0.8,AFC,0
2010,MIA,34.69,1.25,10.96,4.1,2.95,26.63,31.23,0.0,0.0,14.15,2.53,5.65,2.59,0.78,0.91,0.9,84.54,0.78,10.11,5.99,4.24,23.57,0.0,0.0,17.86,3.53,7.45,2.0,1.03,0.76,91.23,7,9,0.438,273,333,-60,-3.8,4.1,0.3,-2.8,3.1,AFC,0
2010,MIN,64.68,17.9,6.39,14.09,7.12,19.2,60.78,0.0,0.0,18.6,13.81,6.56,4.75,2.6,1.31,0.85,141.2,18.41,9.04,19.57,7.57,17.26,0.0,0.0,15.15,16.84,8.51,2.0,1.38,0.69,150.93,6,10,0.375,281,348,-67,-4.2,2.6,-1.6,-3.3,1.7,NFC,0
2010,NE,59.05,20.72,7.35,18.74,3.63,19.06,34.81,0.0,0.0,11.37,1.71,11.51,3.02,2.66,0.37,0.0,111.08,18.4,7.47,16.77,4.67,19.38,0.0,0.0,11.14,1.61,11.64,3.91,0.49,0.0,113.83,14,2,0.875,518,313,205,12.8,2.6,15.4,12.6,2.8,AFC,0
2010,NO,62.2,12.74,14.44,12.2,6.48,22.34,50.44,0.0,0.0,24.97,4.79,11.03,1.23,0.47,0.44,0.32,124.97,10.4,10.95,12.34,5.4,20.57,0.0,0.0,25.62,8.43,10.55,0.42,0.48,0.41,130.78,11,5,0.688,384,307,77,4.8,-2.5,2.3,1.5,0.8,NFC,0
2010,NYG,53.37,15.17,7.76,9.08,2.73,26.41,55.45,0.0,0.0,16.06,17.93,7.99,2.65,1.45,0.31,0.89,128.05,19.25,7.58,9.07,2.06,29.74,0.0,0.0,15.63,11.9,14.55,1.4,0.44,1.1,138.09,10,6,0.625,394,347,47,2.9,-0.8,2.1,1.7,0.4,NFC,0
2010,NYJ,61.67,11.98,2.98,13.51,4.12,29.94,38.74,0.0,0.0,28.25,13.18,4.16,1.57,0.55,0.7,0.32,123.0,13.35,3.84,14.1,4.75,37.18,0.0,0.0,26.37,17.24,4.12,0.55,0.62,0.41,141.42,11,5,0.688,367,304,63,3.9,2.5,6.5,2.2,4.2,AFC,0
2010,OAK,24.97,5.82,6.17,5.57,1.21,11.07,48.31,0.0,0.0,8.87,13.07,5.87,8.51,3.13,3.7,1.68,90.85,5.82,8.3,10.46,1.75,12.14,0.0,0.0,17.81,23.78,10.14,4.0,4.0,1.68,126.4,8,8,0.5,410,371,39,2.4,-2.3,0.2,2.3,-2.2,AFC,0
2010,PHI,61.6,14.07,3.14,15.03,3.61,25.61,51.08,0.0,0.0,13.25,16.44,4.04,3.9,1.9,1.1,0.9,116.94,10.41,3.04,12.58,6.07,24.53,0.0,0.0,14.39,18.88,3.84,1.76,1.1,0.88,120.85,10,6,0.625,439,377,62,3.9,0.3,4.2,5.4,-1.2,NFC,0
2010,PIT,43.88,13.65,4.33,10.05,6.21,15.19,58.66,0.0,0.0,19.92,10.35,12.74,2.24,0.31,1.1,0.83,114.63,17.78,4.68,11.03,8.26,17.96,0.0,0.0,21.39,8.91,12.0,0.63,1.1,0.8,123.2,12,4,0.75,375,232,143,8.9,1.3,10.2,2.5,7.7,AFC,0
2010,SD,55.46,14.79,10.09,7.58,7.84,15.04,39.25,0.0,0.0,12.71,3.42,6.59,3.77,2.1,1.35,0.32,100.32,18.3,13.0,9.05,9.53,22.85,0.0,0.0,9.42,3.58,8.03,1.87,1.04,0.39,113.76,9,7,0.563,441,322,119,7.4,-2.6,4.8,3.2,1.6,AFC,0
2010,SEA,33.08,11.38,3.13,3.64,5.03,19.84,33.07,0.0,0.0,19.94,9.98,3.67,4.39,2.81,1.58,0.0,92.4,12.63,6.01,8.41,4.46,29.31,0.0,0.0,25.0,11.33,6.02,2.81,1.52,0.0,121.65,7,9,0.438,310,407,-97,-6.1,-3.4,-9.4,-3.9,-5.5,NFC,0
2010,SF,73.33,15.55,10.27,11.64,10.35,24.29,43.13,0.0,0.0,12.89,10.19,2.65,2.64,0.0,1.34,1.3,122.1,8.92,10.93,9.66,8.7,24.01,0.0,0.0,21.28,13.01,3.33,0.0,1.18,1.06,124.66,6,10,0.375,305,346,-41,-2.6,-3.3,-5.8,-4.7,-1.1,NFC,0
2010,STL,42.51,6.45,8.85,3.13,1.56,23.22,36.21,0.0,0.0,5.23,7.93,7.58,5.42,3.06,1.34,1.03,88.48,16.01,7.94,3.76,1.82,32.36,0.0,0.0,6.9,8.57,9.18,2.84,1.12,1.1,114.03,7,9,0.438,289,328,-39,-2.4,-4.2,-6.7,-6.3,-0.4,NFC,0
2010,TB,26.16,4.88,2.62,3.3,7.2,7.97,29.72,0.0,0.0,6.27,6.94,1.93,1.57,0.47,0.32,0.78,62.03,5.2,2.67,4.2,6.46,10.69,0.0,0.0,6.24,9.2,2.09,0.43,0.45,0.8,65.04,10,6,0.625,341,318,23,1.4,-2.0,-0.6,-1.0,0.4,NFC,0
2010,TEN,60.65,17.81,2.59,9.28,6.12,23.87,38.22,0.0,0.0,9.02,5.33,14.32,3.25,2.78,0.48,0.0,103.08,17.64,2.89,11.48,6.12,25.1,0.0,0.0,11.51,6.05,11.49,3.0,0.39,0.0,106.53,6,10,0.375,356,339,17,1.1,0.0,1.0,-0.9,1.9,AFC,0
2010,WAS,58.74,19.93,11.59,6.59,5.9,18.43,83.89,0.0,0.0,18.96,24.55,9.05,1.77,0.4,1.05,0.32,152.38,16.72,12.48,7.92,6.29,27.33,0.0,0.0,15.29,13.86,10.48,0.46,1.35,0.41,140.6,6,10,0.375,302,377,-75,-4.7,0.9,-3.8,-3.4,-0.5,NFC,0
2011,ARI,61.04,10.41,3.68,20.49,4.49,21.55,34.5,1.05,11.14,11.72,8.69,13.62,3.78,2.25,0.53,1.0,111.03,14.9,4.23,21.2,5.85,21.69,1.39,14.68,12.57,10.05,16.26,1.75,0.81,0.95,126.89,8,8,0.5,312,348,-36,-2.3,0.0,-2.2,-1.7,-0.5,NFC,0
2011,ATL,65.26,16.3,9.33,13.48,9.66,16.1,25.9,3.67,6.4,22.4,12.0,3.84,3.12,1.81,0.4,0.91,116.68,14.05,7.67,14.46,7.65,20.18,6.5,7.54,18.49,13.69,3.24,2.68,0.53,0.86,118.75,10,6,0.625,402,350,52,3.3,0.3,3.5,1.8,1.7,NFC,0
2011,BAL,44.56,6.13,2.31,12.74,2.05,18.99,48.39,18.02,12.59,9.6,5.82,11.96,4.45,2.1,1.9,0.45,107.0,6.49,2.61,20.02,1.96,20.83,18.08,17.55,9.35,7.86,9.34,2.94,2.5,0.45,123.65,12,4,0.75,378,266,112,7.0,-0.9,6.1,2.6,3.5,AFC,0
2011,BUF,27.39,8.11,3.81,6.61,1.68,6.08,30.89,6.56,12.23,9.61,8.05,4.05,2.16,0.0,1.68,0.48,70.04,5.75,6.23,6.84,2.14,7.18,9.49,13.8,9.89,9.95,5.93,0.0,1.79,0.48,80.73,6,10,0.375,372,434,-62,-3.9,0.5,-3.4,1.2,-4.5,AFC,0
2011,CAR,61.9,5.47,10.93,13.44,6.45,27.8,44.15,0.0,0.0,16.29,11.5,3.88,5.16,2.0,1.96,1.2,116.8,7.05,13.69,11.37,9.85,30.11,0.0,0.0,26.15,11.33,7.86,3.0,1.7,1.2,143.39,6,10,0.375,406,429,-23,-1.4,0.1,-1.3,2.6,-3.9,NFC,0
2011,CHI,40.06,9.92,3.71,9.6,3.68,15.6,39.11,0.0,0.0,19.78,8.31,8.59,6.1,2.15,2.9,1.05,100.83,10.63,3.67,14.46,2.92,15.0,0.0,0.0,18.98,8.56,8.35,2.58,2.0,1.05,115.22,8,8,0.5,353,341,12,0.8,0.9,1.7,-1.5,3.1,NFC,0
2011,CIN,41.66,2.95,4.87,6.72,3.7,22.89,52.65,0.0,0.0,13.55,19.73,5.88,1.86,0.69,0.57,0.6,100.32,3.3,4.96,8.52,4.79,23.55,0.0,0.0,13.58,21.56,6.83,0.64,0.49,0.6,107.37,9,7,0.563,344,323,21,1.3,-0.9,0.5,0.7,-0.2,AFC,0
2011,CLE,53.21,3.25,1.59,4.78,9.56,33.55,31.74,0.0,0.0,14.2,13.27,6.77,4.56,3.25,1.31,0.0,97.44,4.31,1.61,7.74,9.16,28.98,0.0,0.0,15.16,16.64,5.88,3.25,1.36,0.0,105.26,4,12,0.25,218,307,-89,-5.6,0.2,-5.4,-7.2,1.8,AFC,0
2011,DAL,37.06,10.22,2.68,5.64,10.3,8.22,41.66,0.0,0.0,18.2,13.99,6.01,4.65,1.27,2.58,0.81,90.32,14.47,3.92,11.94,9.13,15.31,0.0,0.0,26.2,14.42,7.48,1.36,2.17,0.85,122.83,8,8,0.5,369,347,22,1.4,0.3,1.6,0.7,0.9,NFC,0
2011,DEN,26.54,0.7,5.5,5.2,3.5,11.64,59.08,0.0,0.0,30.98,16.33,5.32,3.89,2.44,0.41,1.05,95.63,1.85,7.04,6.04,3.88,13.99,0.0,0.0,25.61,16.04,4.7,2.39,0.35,1.11,98.85,8,8,0.5,309,390,-81,-5.1,-0.2,-5.3,-3.6,-1.7,AFC,0
2011,DET,60.94,9.05,6.87,23.82,5.64,22.67,39.37,6.8,20.5,8.74,7.72,4.34,4.42,2.85,0.69,0.88,120.58,15.06,6.44,21.11,6.23,24.07,11.29,21.9,14.66,9.17,4.46,1.98,0.69,0.75,137.8,10,6,0.625,474,387,87,5.4,0.6,6.1,6.9,-0.8,NFC,0
2011,GB,51.13,8.82,5.68,18.06,3.12,18.94,52.05,0.0,0.0,16.59,10.01,15.09,3.38,2.25,0.41,0.73,112.65,11.57,6.62,19.62,2.78,22.7,0.0,0.0,18.5,12.64,20.01,2.95,0.41,0.79,136.23,15,1,0.938,560,359,201,12.6,-1.2,11.4,11.5,-0.1,NFC,0
2011,HOU,53.62,9.58,3.45,14.39,6.93,18.7,56.36,0.0,0.0,8.35,13.84,6.16,2.6,2.15,0.0,0.45,112.95,9.47,3.12,20.3,7.76,20.14,0.0,0.0,14.66,16.96,7.57,2.05,0.0,0.36,127.11,10,6,0.625,381,278,103,6.4,-1.9,4.5,1.4,3.2,AFC,0
2011,IND,57.89,17.07,8.42,12.74,10.35,12.4,45.33,0.0,0.0,28.38,3.69,9.56,3.13,2.6,0.53,0.0,114.2,19.15,7.83,9.64,9.48,15.28,0.0,0.0,26.39,4.01,10.87,3.07,0.45,0.0,116.49,2,14,0.125,243,430,-187,-11.7,0.4,-11.3,-6.0,-5.3,AFC,0
2011,JAX,41.37,4.45,8.24,5.8,4.94,12.63,38.22,0.0,0.0,9.27,9.39,4.73,3.28,2.4,0.0,0.88,83.64,5.85,8.58,8.75,8.14,17.43,0.0,0.0,13.51,12.48,8.19,2.0,0.0,1.0,110.43,5,11,0.313,243,329,-86,-5.4,-0.3,-5.6,-7.1,1.4,AFC,0
2011,KC,45.46,16.38,9.48,8.71,1.57,8.5,49.21,0.0,0.0,13.31,9.06,9.2,3.61,0.93,1.98,0.69,102.91,16.88,8.95,10.01,2.29,9.94,0.0,0.0,24.51,13.46,10.6,2.75,1.7,0.73,128.97,7,9,0.438,212,338,-126,-7.9,-0.2,-8.1,-10.2,2.1,AFC,0
2011,MIA,48.81,4.59,6.06,15.25,3.93,21.48,54.04,0.0,0.0,18.13,2.98,9.9,3.49,1.34,1.29,0.85,113.69,4.57,6.8,14.2,4.25,23.93,0.0,0.0,24.23,3.53,14.07,2.0,1.03,0.76,128.06,6,10,0.375,329,313,16,1.0,-0.1,0.9,-2.2,3.2,AFC,0
2011,MIN,49.26,8.03,14.17,4.27,9.02,13.76,52.48,0.0,0.0,15.32,11.72,3.3,3.89,2.38,1.51,0.0,111.6,11.0,16.2,13.71,9.14,20.19,0.0,0.0,15.73,11.69,3.59,3.0,1.38,0.0,134.35,3,13,0.188,340,449,-109,-6.8,1.1,-5.7,-1.6,-4.1,NFC,0
